Product ID,Product Name,Brand,Category,SKU,Price (SGD),Stock,Images,Datasheet
101,Logitech MX Keys S Keyboard,Logitech,Computer Accessories,LGT-MXKEYS-S,189.00,120,,
102,Logitech MX Master 3S Mouse,Logitech,Computer Accessories,LGT-MXM3S,139.00,95,,
103,Dell 24 USB-C Monitor Hub,Dell,Computer Accessories,DEL-HUB-24,79.00,60,,
104,Anker 12-in-1 USB-C Hub,Anker,Computer Accessories,ANK-HUB-12,109.00,80,,
105,Logitech C920 HD Webcam,Logitech,Computer Accessories,LGT-C920,159.00,55,,
106,Belkin 6-in-1 USB-C Hub,Belkin,Computer Accessories,BLK-HUB6,89.00,70,,
107,Razer BlackWidow V3 Keyboard,Razer,Computer Accessories,RZR-BWV3,199.00,40,,
108,Cable Matters 4K HDMI Cable 2m,Cable Matters,Computer Accessories,CM-HDMI-2M,29.00,200,,
109,Ergotron LX Desk Monitor Arm,Ergotron,Computer Accessories,ERG-LX-ARM,239.00,30,,
110,Jabra Evolve2 30 Headset,Jabra,Computer Accessories,JBR-EV2-30,149.00,65,,
201,Samsung 990 Pro 2TB SSD,Samsung,Data Storage,SAM-990P-2T,369.00,50,,
202,Western Digital 4TB My Passport,Western Digital,Data Storage,WD-MPP-4TB,189.00,75,,
203,SanDisk Extreme Pro 1TB SSD,SanDisk,Data Storage,SND-EXP-1T,229.00,60,,
204,Seagate Expansion 5TB HDD,Seagate,Data Storage,SEA-EXP-5T,169.00,80,,
205,Kingston 256GB DataTraveler USB,Kingston,Data Storage,KNG-DT-256,39.00,150,,
206,Samsung T7 Shield 2TB SSD,Samsung,Data Storage,SAM-T7S-2T,299.00,45,,
207,Lexar Professional 1066x 256GB,Lexar,Data Storage,LEX-1066-256,89.00,90,,
208,WD Blue SN580 1TB NVMe,Western Digital,Data Storage,WD-SN580-1T,139.00,100,,
209,SanDisk Ultra 512GB USB Flash,SanDisk,Data Storage,SND-ULT-512,59.00,120,,
210,Seagate IronWolf 8TB NAS HDD,Seagate,Data Storage,SEA-IRW-8T,349.00,35,,
301,Razer Kraken V3 Gaming Headset,Razer,Gaming,RZR-KRK-V3,179.00,55,,
302,SteelSeries Arctis Nova Pro,SteelSeries,Gaming,SSL-ARC-NP,449.00,25,,
303,Logitech G Pro X Superlight 2,Logitech,Gaming,LGT-GPX-SL2,229.00,40,,
304,Razer DeathAdder V3 Gaming Mouse,Razer,Gaming,RZR-DAV3,129.00,60,,
305,HyperX Cloud Alpha Headset,HyperX,Gaming,HPX-CLD-ALP,189.00,50,,
306,SteelSeries Aerox 5 Mouse,SteelSeries,Gaming,SSL-AX5,169.00,35,,
307,Razer Firefly V2 Mouse Pad,Razer,Gaming,RZR-FFV2,99.00,70,,
308,Logitech G435 Wireless Headset,Logitech,Gaming,LGT-G435,139.00,65,,
309,HyperX Pulsefire Haste 2 Mouse,HyperX,Gaming,HPX-PFH2,89.00,80,,
310,Corsair HS80 RGB Wireless Headset,Corsair,Gaming,COR-HS80-RGB,199.00,45,,
401,TP-Link Deco XE75 Mesh WiFi,TP-Link,Networking & Wireless,TPL-DECO-XE75,389.00,30,,
402,ASUS RT-AX86U Pro Router,ASUS,Networking & Wireless,ASU-RT-AX86U,429.00,25,,
403,Netgear Nighthawk AX12 Router,Netgear,Networking & Wireless,NGR-NHK-AX12,499.00,20,,
404,TP-Link TL-SG1008P 8-Port Switch,TP-Link,Networking & Wireless,TPL-SG1008P,189.00,45,,
405,Ubiquiti UniFi U6 Access Point,Ubiquiti,Networking & Wireless,UBQ-U6-AP,289.00,35,,
406,TP-Link RE700X WiFi Range Extender,TP-Link,Networking & Wireless,TPL-RE700X,149.00,55,,
407,Linksys Velop MX5300 Mesh WiFi,Linksys,Networking & Wireless,LNK-MX5300,379.00,28,,
408,D-Link 24-Port Gigabit Switch,D-Link,Networking & Wireless,DLK-24P-GIG,229.00,40,,
409,ASUS ZenWiFi Pro ET12 Mesh,ASUS,Networking & Wireless,ASU-ET12,639.00,18,,
410,Netgear Orbi RBK863S Mesh WiFi,Netgear,Networking & Wireless,NGR-RBK863S,869.00,15,,
501,Fellowes Lotus Sit-Stand Workstation,Fellowes,Office Essentials,FLW-LOTUS-SS,589.00,20,,
502,Brother HL-L3270CDW Colour Printer,Brother,Office Essentials,BRO-HLL3270,499.00,25,,
503,Epson EB-W51 WXGA Projector,Epson,Office Essentials,EPS-EBW51,699.00,15,,
504,Logitech MX Brio 705 4K Webcam,Logitech,Office Essentials,LGT-MX-BRIO,349.00,30,,
505,AmazonBasics 5-Sheet Shredder,AmazonBasics,Office Essentials,AMZ-SHRD-5,89.00,60,,
506,3M Adjustable Monitor Stand,3M,Office Essentials,3M-MON-STND,129.00,45,,
507,Kensington Expert Trackball Mouse,Kensington,Office Essentials,KSN-EXP-TB,189.00,35,,
508,Targus AWE81GL Wireless Presenter,Targus,Office Essentials,TRG-AWE81,79.00,55,,
509,Plantronics Poly Sync 40 Speaker,Poly,Office Essentials,PLY-SYNC40,399.00,22,,
510,Leitz IQ Office 30L Paper Shredder,Leitz,Office Essentials,LTZ-IQ-30L,249.00,18,,
601,Anker 737 PowerBank 24000mAh,Anker,Power Bank,ANK-737-24K,149.00,80,,
602,Belkin BoostCharge Pro 20000mAh,Belkin,Power Bank,BLK-BCP-20K,129.00,65,,
603,Samsung 25W Wireless Battery Pack,Samsung,Power Bank,SAM-WLS-25W,109.00,90,,
604,Xiaomi 33W Powerbank 10000mAh,Xiaomi,Power Bank,XMI-33W-10K,59.00,120,,
605,Anker PowerCore III Elite 25600mAh,Anker,Power Bank,ANK-PCE-256,189.00,50,,
606,Mophie Powerstation Pro XL 20K,Mophie,Power Bank,MPH-PSP-20K,169.00,40,,
607,Baseus Amblight 65W 30000mAh,Baseus,Power Bank,BAS-AMB-65W,139.00,55,,
608,ZMI 10 Pro 20000mAh USB-C PD,ZMI,Power Bank,ZMI-10P-20K,99.00,70,,
609,Aukey PB-WL02 15W Wireless 20K,Aukey,Power Bank,AUK-WL02-20K,89.00,85,,
610,Romoss Sense 8+ 30000mAh PD,Romoss,Power Bank,RMS-S8P-30K,79.00,100,,
